State, latitude, longitude
TX: GNMA, 31.9686, -99.9018
FL: GNMA, 27.6648, -81.5158
GA: GNMA, 32.1656, -82.9001
NC: GNMA, 35.7596, -79.0193
NY: GNMA, 40.7128, -74.0060
LA: GNMA, 34.0522, -118.2437
IL: GNMA, 40.6331, -89.3985
PA: GNMA, 41.2033, -77.1945
OH: GNMA, 40.4173, -82.9071
TN: GNMA, 35.5175, -86.5804
IN: GNMA, 40.2672, -86.1349
VA: GNMA, 37.4316, -78.6569
AL: GNMA, 32.3182, -86.9023
MD: GNMA, 39.0458, -76.6413
SC: GNMA, 33.8361, -81.1637
